id,user_id,user_name,game_id,event,date_time,country
1,1,alexhubbard,5,login,2024-12-23 23:43:00,South Africa
2,1,alexhubbard,5,play_start,2024-12-23 23:47:00,South Africa
3,1,alexhubbard,5,play_end,2024-12-23 23:56:00,South Africa
4,1,alexhubbard,5,play_start,2024-12-24 00:02:00,South Africa
5,1,alexhubbard,5,play_end,2024-12-24 00:07:00,South Africa
6,1,alexhubbard,5,level_up,2024-12-24 00:08:00,South Africa
7,1,alexhubbard,5,logout,2024-12-24 00:09:00,South Africa
8,1,alexhubbard,5,login,2024-12-24 13:26:00,South Africa
9,1,alexhubbard,5,play_start,2024-12-24 13:31:00,South Africa
10,1,alexhubbard,5,play_end,2024-12-24 14:01:00,South Africa
11,1,alexhubbard,5,level_up,2024-12-24 14:02:00,South Africa
12,1,alexhubbard,5,purchase,2024-12-24 14:03:00,South Africa
13,1,alexhubbard,5,logout,2024-12-24 14:04:00,South Africa
14,1,alexhubbard,5,login,2024-12-25 14:28:00,South Africa
15,1,alexhubbard,5,play_start,2024-12-25 14:34:00,South Africa
16,1,alexhubbard,5,play_end,2024-12-25 14:57:00,South Africa
17,1,alexhubbard,5,logout,2024-12-25 14:58:00,South Africa
18,1,alexhubbard,5,login,2024-12-26 15:34:00,South Africa
19,1,alexhubbard,5,play_start,2024-12-26 15:39:00,South Africa
20,1,alexhubbard,5,play_end,2024-12-26 16:05:00,South Africa
21,1,alexhubbard,5,play_start,2024-12-26 16:09:00,South Africa
22,1,alexhubbard,5,play_end,2024-12-26 16:22:00,South Africa
23,1,alexhubbard,5,logout,2024-12-26 16:23:00,South Africa
24,1,alexhubbard,5,login,2024-12-27 10:59:00,South Africa
25,1,alexhubbard,5,play_start,2024-12-27 11:03:00,South Africa
26,1,alexhubbard,5,play_end,2024-12-27 11:25:00,South Africa
27,1,alexhubbard,5,play_start,2024-12-27 11:30:00,South Africa
28,1,alexhubbard,5,play_end,2024-12-27 11:48:00,South Africa
29,1,alexhubbard,5,logout,2024-12-27 11:49:00,South Africa
30,1,alexhubbard,5,login,2024-12-28 11:38:00,South Africa
31,1,alexhubbard,5,play_start,2024-12-28 11:47:00,South Africa
32,1,alexhubbard,5,play_end,2024-12-28 12:02:00,South Africa
33,1,alexhubbard,5,play_start,2024-12-28 12:11:00,South Africa
34,1,alexhubbard,5,play_end,2024-12-28 12:24:00,South Africa
35,1,alexhubbard,5,play_start,2024-12-28 12:30:00,South Africa
36,1,alexhubbard,5,play_end,2024-12-28 12:40:00,South Africa
37,1,alexhubbard,5,logout,2024-12-28 12:41:00,South Africa
38,1,alexhubbard,5,login,2024-12-29 00:12:00,South Africa
39,1,alexhubbard,5,play_start,2024-12-29 00:14:00,South Africa
40,1,alexhubbard,5,play_end,2024-12-29 00:44:00,South Africa
41,1,alexhubbard,5,play_start,2024-12-29 00:54:00,South Africa
42,1,alexhubbard,5,play_end,2024-12-29 01:02:00,South Africa
43,1,alexhubbard,5,logout,2024-12-29 01:03:00,South Africa
44,1,alexhubbard,5,login,2024-12-30 06:09:00,South Africa
45,1,alexhubbard,5,play_start,2024-12-30 06:14:00,South Africa
46,1,alexhubbard,5,play_end,2024-12-30 06:19:00,South Africa
47,1,alexhubbard,5,play_start,2024-12-30 06:28:00,South Africa
48,1,alexhubbard,5,play_end,2024-12-30 06:49:00,South Africa
49,1,alexhubbard,5,level_up,2024-12-30 06:50:00,South Africa
50,1,alexhubbard,5,bug_report,2024-12-30 06:51:00,South Africa
51,1,alexhubbard,5,logout,2024-12-30 06:52:00,South Africa
52,1,alexhubbard,5,login,2025-01-22 23:40:00,South Africa
53,1,alexhubbard,5,play_start,2025-01-22 23:47:00,South Africa
54,1,alexhubbard,5,play_end,2025-01-23 00:14:00,South Africa
55,1,alexhubbard,5,play_start,2025-01-23 00:16:00,South Africa
56,1,alexhubbard,5,play_end,2025-01-23 00:29:00,South Africa
57,1,alexhubbard,5,bug_report,2025-01-23 00:30:00,South Africa
58,1,alexhubbard,5,logout,2025-01-23 00:31:00,South Africa
